,Date,No. of Diesel cars
0,1/13/2019,503
1,1/14/2019,261
2,1/15/2019,246
3,1/16/2019,257
4,1/17/2019,835
5,1/18/2019,1118
6,1/19/2019,1083
7,1/20/2019,561
8,1/21/2019,576
9,1/22/2019,1049
10,1/23/2019,1084
11,1/24/2019,1114
12,1/25/2019,1266
13,1/26/2019,764
14,1/27/2019,28
15,1/28/2019,476
16,1/29/2019,989
17,1/30/2019,1354
18,1/31/2019,1860
19,2/1/2019,1104
20,2/2/2019,843
21,2/3/2019,1233
22,2/4/2019,543
23,2/5/2019,473
24,2/6/2019,455
25,2/7/2019,783
26,2/8/2019,755
27,2/9/2019,53
28,2/10/2019,733
29,2/11/2019,1127
30,2/12/2019,348
31,2/13/2019,1095
32,2/14/2019,1203
33,2/15/2019,1377
34,2/16/2019,1347
35,2/17/2019,635
36,2/18/2019,604
37,2/19/2019,1099
38,2/20/2019,1136
39,2/21/2019,1289
40,2/22/2019,1379
41,2/23/2019,1287
42,2/24/2019,590
43,2/25/2019,591
44,2/26/2019,1193
45,2/27/2019,1309
46,2/28/2019,1808
47,3/1/2019,1442
48,3/2/2019,388
49,3/3/2019,576
50,3/4/2019,754
51,3/5/2019,832
52,3/6/2019,329
53,3/7/2019,676
54,3/8/2019,903
55,3/9/2019,330
56,3/10/2019,1084
57,3/11/2019,451
58,3/12/2019,792
59,3/13/2019,1303
60,3/14/2019,1287
61,3/15/2019,1178
62,3/16/2019,1378
63,3/17/2019,788
64,3/18/2019,760
65,3/19/2019,1232
66,3/20/2019,1185
67,3/21/2019,790
68,3/22/2019,888
69,3/23/2019,1299
70,3/24/2019,540
71,3/25/2019,754
72,3/26/2019,1345
73,3/27/2019,1418
74,3/28/2019,1481
75,3/29/2019,1438
76,3/30/2019,2068
77,3/31/2019,2027
78,4/1/2019,1344
79,4/2/2019,359
80,4/3/2019,381
81,4/4/2019,868
82,4/5/2019,672
83,4/6/2019,730
84,4/7/2019,882
85,4/8/2019,434
86,4/9/2019,702
87,4/10/2019,1770
88,4/11/2019,388
89,4/12/2019,840
90,4/13/2019,811
91,4/14/2019,364
92,4/15/2019,515
93,4/16/2019,940
94,4/17/2019,929
95,4/18/2019,1018
96,4/19/2019,939
97,4/20/2019,811
98,4/21/2019,408
99,4/22/2019,476
100,4/23/2019,948
101,4/24/2019,1002
102,4/25/2019,1085
103,4/26/2019,1163
104,4/27/2019,1013
105,4/28/2019,430
106,4/29/2019,797
107,4/30/2019,1689
108,5/1/2019,951
109,5/2/2019,733
110,5/3/2019,529
111,5/4/2019,903
112,5/5/2019,299
113,5/6/2019,644
114,5/7/2019,960
115,5/8/2019,545
116,5/9/2019,847
117,5/10/2019,1740
118,5/11/2019,877
119,5/12/2019,821
120,5/13/2019,150
121,5/14/2019,679
122,5/15/2019,1051
123,5/16/2019,1123
124,5/17/2019,1276
125,5/18/2019,1151
126,5/19/2019,520
127,5/20/2019,507
128,5/21/2019,875
129,5/22/2019,881
130,5/23/2019,1089
131,5/24/2019,1180
132,5/25/2019,974
133,5/26/2019,429
134,5/27/2019,421
135,5/28/2019,899
136,5/29/2019,1254
137,5/30/2019,1565
138,5/31/2019,1809
139,6/1/2019,334
140,6/2/2019,1068
141,6/3/2019,573
142,6/4/2019,714
143,6/5/2019,444
144,6/6/2019,721
145,6/7/2019,838
146,6/8/2019,906
147,6/9/2019,760
148,6/10/2019,1164
149,6/11/2019,1076
150,6/12/2019,1164
151,6/13/2019,1379
152,6/14/2019,1291
153,6/15/2019,1222
154,6/16/2019,613
155,6/17/2019,570
156,6/18/2019,1060
157,6/19/2019,1130
158,6/20/2019,1240
159,6/21/2019,1313
160,6/22/2019,1194
161,6/23/2019,510
162,6/24/2019,611
163,6/25/2019,1189
164,6/26/2019,1334
165,6/27/2019,1774
166,6/28/2019,1965
167,6/29/2019,1926
168,6/30/2019,1336
169,7/1/2019,608
170,7/2/2019,1337
171,7/3/2019,868
172,7/4/2019,249
173,7/5/2019,960
174,7/6/2019,997
175,7/7/2019,399
176,7/8/2019,860
177,7/9/2019,715
178,7/10/2019,1749
179,7/11/2019,1155
180,7/12/2019,1096
181,7/13/2019,1032
182,7/14/2019,394
183,7/15/2019,386
184,7/16/2019,776
185,7/17/2019,799
186,7/18/2019,972
187,7/19/2019,1108
188,7/20/2019,936
189,7/21/2019,407
190,7/22/2019,474
191,7/23/2019,910
192,7/24/2019,889
193,7/25/2019,847
194,7/26/2019,878
195,7/27/2019,894
196,7/28/2019,433
197,7/29/2019,472
198,7/30/2019,951
199,7/31/2019,1172
200,8/1/2019,1049
201,8/2/2019,1374
202,8/3/2019,1273
203,8/4/2019,508
204,8/5/2019,953
205,8/6/2019,956
206,8/7/2019,495
207,8/8/2019,890
208,8/9/2019,415
209,8/10/2019,2115
210,8/11/2019,1195
211,8/12/2019,455
212,8/13/2019,451
213,8/14/2019,865
214,8/15/2019,637
215,8/16/2019,519
216,8/17/2019,994
217,8/18/2019,510
218,8/19/2019,444
219,8/20/2019,803
220,8/21/2019,873
221,8/22/2019,985
222,8/23/2019,891
223,8/24/2019,830
224,8/25/2019,435
225,8/26/2019,554
226,8/27/2019,1040
227,8/28/2019,1085
228,8/29/2019,1140
229,8/30/2019,978
230,8/31/2019,1357
231,9/1/2019,889
232,9/2/2019,1253
233,9/3/2019,1257
234,9/4/2019,960
235,9/5/2019,972
236,9/6/2019,468
237,9/7/2019,885
238,9/8/2019,1067
239,9/9/2019,518
240,9/10/2019,762
241,9/11/2019,1084
242,9/12/2019,659
243,9/13/2019,684
244,9/14/2019,791
245,9/15/2019,319
246,9/16/2019,388
247,9/17/2019,696
248,9/18/2019,691
249,9/19/2019,810
250,9/20/2019,1027
251,9/21/2019,1031
252,9/22/2019,461
253,9/23/2019,421
254,9/24/2019,850
255,9/25/2019,894
256,9/26/2019,1014
257,9/27/2019,1162
258,9/28/2019,1147
259,9/29/2019,818
260,9/30/2019,1712
261,10/1/2019,861
262,10/2/2019,578
263,10/3/2019,499
264,10/4/2019,1136
265,10/5/2019,1011
266,10/6/2019,423
267,10/7/2019,790
268,10/8/2019,1098
269,10/9/2019,768
270,10/10/2019,842
271,10/11/2019,475
272,10/12/2019,1093
273,10/13/2019,761
274,10/14/2019,721
275,10/15/2019,1322
276,10/16/2019,1265
277,10/17/2019,1236
278,10/18/2019,1424
279,10/19/2019,1379
280,10/20/2019,615
281,10/21/2019,579
282,10/22/2019,1102
283,10/23/2019,1396
284,10/24/2019,1752
285,10/25/2019,1967
286,10/26/2019,1849
287,10/27/2019,834
288,10/28/2019,539
289,10/29/2019,1235
290,10/30/2019,1897
291,10/31/2019,2582
292,11/1/2019,1048
293,11/2/2019,623
294,11/3/2019,546
295,11/4/2019,684
296,11/5/2019,812
297,11/6/2019,833
298,11/7/2019,926
299,11/8/2019,453
300,11/9/2019,656
301,11/10/2019,1551
302,11/11/2019,409
303,11/12/2019,1180
304,11/13/2019,921
305,11/14/2019,979
306,11/15/2019,1151
307,11/16/2019,1141
308,11/17/2019,516
309,11/18/2019,622
310,11/19/2019,1063
311,11/20/2019,1067
312,11/21/2019,1314
313,11/22/2019,1589
314,11/23/2019,1396
315,11/24/2019,522
316,11/25/2019,479
317,11/26/2019,911
318,11/27/2019,1101
319,11/28/2019,1415
320,11/29/2019,1641
321,11/30/2019,2011
322,12/1/2019,1087
323,12/2/2019,1126
324,12/3/2019,1075
325,12/4/2019,461
326,12/5/2019,365
327,12/6/2019,1140
328,12/7/2019,1198
329,12/8/2019,229
330,12/9/2019,593
331,12/10/2019,1567
332,12/11/2019,853
333,12/12/2019,1327
334,12/13/2019,1378
335,12/14/2019,1298
336,12/15/2019,590
337,12/16/2019,632
338,12/17/2019,1042
339,12/18/2019,1081
340,12/19/2019,1086
341,12/20/2019,1187
342,12/21/2019,1576
343,12/22/2019,939
344,12/23/2019,867
345,12/24/2019,1355
346,12/25/2019,970
347,12/26/2019,704
348,12/27/2019,1187
349,12/28/2019,1709
350,12/29/2019,1070
351,12/30/2019,1359
352,12/31/2019,2611
353,1/1/2020,0
354,1/2/2020,0
355,1/3/2020,0
356,1/4/2020,0
357,1/5/2020,0
358,1/6/2020,0
359,1/7/2020,0
360,1/8/2020,0
361,1/9/2020,0
362,1/10/2020,0
363,1/11/2020,0
364,1/12/2020,0
365,1/13/2020,587
366,1/14/2020,965
367,1/15/2020,434
368,1/16/2020,279
369,1/17/2020,914
370,1/18/2020,1310
371,1/19/2020,680
372,1/20/2020,787
373,1/21/2020,1294
374,1/22/2020,1016
375,1/23/2020,1003
376,1/24/2020,1009
377,1/25/2020,1175
378,1/26/2020,715
379,1/27/2020,826
380,1/28/2020,1492
381,1/29/2020,1606
382,1/30/2020,1996
383,1/31/2020,2506
384,2/1/2020,1341
385,2/2/2020,478
386,2/3/2020,537
387,2/4/2020,14
388,2/5/2020,24
389,2/6/2020,466
390,2/7/2020,539
391,2/8/2020,169
392,2/9/2020,457
393,2/10/2020,472
394,2/11/2020,403
395,2/12/2020,496
396,2/13/2020,1466
397,2/14/2020,1560
398,2/15/2020,1436
399,2/16/2020,643
400,2/17/2020,686
401,2/18/2020,1318
402,2/19/2020,1611
403,2/20/2020,2012
404,2/21/2020,1808
405,2/22/2020,927
406,2/23/2020,193
407,2/24/2020,840
408,2/25/2020,1579
409,2/26/2020,1732
410,2/27/2020,1879
411,2/28/2020,1987
412,2/29/2020,2319
413,3/1/2020,1579
414,3/2/2020,585
415,3/3/2020,931
416,3/4/2020,6
417,3/5/2020,22
418,3/6/2020,524
419,3/7/2020,507
420,3/8/2020,147
421,3/9/2020,514
422,3/10/2020,428
423,3/11/2020,690
424,3/12/2020,706
425,3/13/2020,1637
426,3/14/2020,1485
427,3/15/2020,795
428,3/16/2020,836
429,3/17/2020,1470
430,3/18/2020,1383
431,3/19/2020,1415
432,3/20/2020,1505
433,3/21/2020,1457
434,3/22/2020,707
435,3/23/2020,190
436,3/24/2020,468
437,3/25/2020,384
438,3/26/2020,281
439,3/27/2020,387
440,3/28/2020,224
441,3/29/2020,18
442,3/30/2020,449
443,3/31/2020,599
444,4/1/2020,1131
445,4/2/2020,1108
446,4/3/2020,1048
447,4/4/2020,0
448,4/5/2020,46
449,4/6/2020,481
450,4/7/2020,574
451,4/8/2020,326
452,4/9/2020,559
453,4/10/2020,369
454,4/11/2020,638
455,4/12/2020,703
456,4/13/2020,72
457,4/14/2020,81
458,4/15/2020,72
459,4/16/2020,77
460,4/17/2020,72
461,4/18/2020,76
462,4/19/2020,41
463,4/20/2020,34
464,4/21/2020,40
465,4/22/2020,41
466,4/23/2020,63
467,4/24/2020,63
468,4/25/2020,45
469,4/26/2020,20
470,4/27/2020,63
471,4/28/2020,106
472,4/29/2020,178
473,4/30/2020,219
474,5/1/2020,553
475,5/2/2020,1290
476,5/3/2020,1343
477,5/4/2020,0
478,5/5/2020,71
479,5/6/2020,534
480,5/7/2020,297
481,5/8/2020,456
482,5/9/2020,509
483,5/10/2020,415
484,5/11/2020,750
485,5/12/2020,656
486,5/13/2020,311
487,5/14/2020,383
488,5/15/2020,404
489,5/16/2020,284
490,5/17/2020,123
491,5/18/2020,220
492,5/19/2020,439
493,5/20/2020,458
494,5/21/2020,453
495,5/22/2020,478
496,5/23/2020,510
497,5/24/2020,276
498,5/25/2020,151
499,5/26/2020,412
500,5/27/2020,605
501,5/28/2020,667
502,5/29/2020,664
503,5/30/2020,703
504,5/31/2020,500
505,6/1/2020,863
506,6/2/2020,1398
507,6/3/2020,1468
508,6/4/2020,1
509,6/5/2020,79
510,6/6/2020,643
511,6/7/2020,321
512,6/8/2020,490
513,6/9/2020,221
514,6/10/2020,746
515,6/11/2020,828
516,6/12/2020,352
517,6/13/2020,637
518,6/14/2020,284
519,6/15/2020,452
520,6/16/2020,766
521,6/17/2020,772
522,6/18/2020,842
523,6/19/2020,843
524,6/20/2020,804
525,6/21/2020,411
526,6/22/2020,395
527,6/23/2020,707
528,6/24/2020,736
529,6/25/2020,874
530,6/26/2020,939
531,6/27/2020,853
532,6/28/2020,408
533,6/29/2020,511
534,6/30/2020,1050
535,7/1/2020,1352
536,7/2/2020,1317
537,7/3/2020,1374
538,7/4/2020,1
539,7/5/2020,136
540,7/6/2020,328
541,7/7/2020,618
542,7/8/2020,458
543,7/9/2020,343
544,7/10/2020,760
545,7/11/2020,770
546,7/12/2020,414
547,7/13/2020,253
548,7/14/2020,506
549,7/15/2020,654
550,7/16/2020,673
551,7/17/2020,588
552,7/18/2020,526
553,7/19/2020,233
554,7/20/2020,205
555,7/21/2020,466
556,7/22/2020,661
557,7/23/2020,729
558,7/24/2020,687
559,7/25/2020,595
560,7/26/2020,265
561,7/27/2020,390
562,7/28/2020,695
563,7/29/2020,800
564,7/30/2020,988
565,7/31/2020,1137
566,8/1/2020,1077
567,8/2/2020,1197
568,8/3/2020,824
569,8/4/2020,0
570,8/5/2020,235
571,8/6/2020,361
572,8/7/2020,596
573,8/8/2020,412
574,8/9/2020,605
575,8/10/2020,777
576,8/11/2020,395
577,8/12/2020,583
578,8/13/2020,555
579,8/14/2020,665
580,8/15/2020,409
581,8/16/2020,39
582,8/17/2020,324
583,8/18/2020,510
584,8/19/2020,375
585,8/20/2020,438
586,8/21/2020,684
587,8/22/2020,501
588,8/23/2020,90
589,8/24/2020,333
590,8/25/2020,580
591,8/26/2020,537
592,8/27/2020,592
593,8/28/2020,783
594,8/29/2020,844
595,8/30/2020,428
596,8/31/2020,742
597,9/1/2020,1069
598,9/2/2020,561
599,9/3/2020,468
600,9/4/2020,0
601,9/5/2020,268
602,9/6/2020,601
603,9/7/2020,596
604,9/8/2020,177
605,9/9/2020,628
606,9/10/2020,828
607,9/11/2020,417
608,9/12/2020,599
609,9/13/2020,301
610,9/14/2020,355
611,9/15/2020,553
612,9/16/2020,545
613,9/17/2020,568
614,9/18/2020,798
615,9/19/2020,1022
616,9/20/2020,518
617,9/21/2020,577
618,9/22/2020,957
619,9/23/2020,935
620,9/24/2020,925
621,9/25/2020,782
622,9/26/2020,990
623,9/27/2020,721
624,9/28/2020,680
625,9/29/2020,1280
626,9/30/2020,1508
627,10/1/2020,1071
628,10/2/2020,703
629,10/3/2020,829
630,10/4/2020,56
631,10/5/2020,134
632,10/6/2020,698
633,10/7/2020,671
634,10/8/2020,243
635,10/9/2020,636
636,10/10/2020,796
637,10/11/2020,772
638,10/12/2020,912
639,10/13/2020,963
640,10/14/2020,737
641,10/15/2020,693
642,10/16/2020,746
643,10/17/2020,1021
644,10/18/2020,802
645,10/19/2020,801
646,10/20/2020,1187
647,10/21/2020,1217
648,10/22/2020,1382
649,10/23/2020,1530
650,10/24/2020,1556
651,10/25/2020,1115
652,10/26/2020,561
653,10/27/2020,628
654,10/28/2020,1146
655,10/29/2020,1459
656,10/30/2020,1508
657,10/31/2020,1685
658,11/1/2020,986
659,11/2/2020,1245
660,11/3/2020,1270
661,11/4/2020,125
662,11/5/2020,143
663,11/6/2020,791
664,11/7/2020,635
665,11/8/2020,440
666,11/9/2020,617
667,11/10/2020,351
668,11/11/2020,843
669,11/12/2020,899
670,11/13/2020,1124
671,11/14/2020,649
672,11/15/2020,156
673,11/16/2020,528
674,11/17/2020,873
675,11/18/2020,824
676,11/19/2020,985
677,11/20/2020,1015
678,11/21/2020,827
679,11/22/2020,398
680,11/23/2020,422
681,11/24/2020,847
682,11/25/2020,1013
683,11/26/2020,1108
684,11/27/2020,1123
685,11/28/2020,1053
686,11/29/2020,561
687,11/30/2020,906
688,12/1/2020,456
689,12/2/2020,1288
690,12/3/2020,1578
691,12/4/2020,86
692,12/5/2020,292
693,12/6/2020,769
694,12/7/2020,282
695,12/8/2020,473
696,12/9/2020,627
697,12/10/2020,551
698,12/11/2020,1046
699,12/12/2020,720
700,12/13/2020,340
701,12/14/2020,290
702,12/15/2020,587
703,12/16/2020,832
704,12/17/2020,978
705,12/18/2020,1012
706,12/19/2020,1024
707,12/20/2020,481
708,12/21/2020,485
709,12/22/2020,881
710,12/23/2020,851
711,12/24/2020,987
712,12/25/2020,893
713,12/26/2020,632
714,12/27/2020,314
715,12/28/2020,430
716,12/29/2020,765
717,12/30/2020,885
